He,O,N2,O2,Ar,TotMassDen,Tn,alt_km,lat,lon,hour,TotNumDen,potential_temperature
112282320000000.0,4.7815294e+17,1.0917934e+19,2.3986597e+18,1.1085638e+17,6.5494373e-07,190.46,99.5,-31.17,-70.81,2016-11-05 00:00:00,1.390571530232e+19,48334.19778447386
105639370000000.0,4.6996666e+17,9.9826915e+18,2.1720543e+18,1.0020253e+17,5.9851152e-07,191.4,100.0,-31.17,-70.81,2016-11-05 00:00:00,1.272502062937e+19,49800.97030549145
99493035000000.0,4.6045451e+17,9.1259844e+18,1.9658262e+18,9.0501549e+16,5.4684006e-07,192.47,100.5,-31.17,-70.81,2016-11-05 00:00:00,1.1642866152035e+19,51003.53424904964
93803956000000.0,4.4981852e+17,8.3418402e+18,1.7783527e+18,8.1680082e+16,4.9956628e-07,193.68,101.0,-31.17,-70.81,2016-11-05 00:00:00,1.0651785305956e+19,51559.06946617022
88535869000000.0,4.3825592e+17,7.6246986e+18,1.6081196e+18,7.3669418e+16,4.5635167e-07,195.02,101.5,-31.17,-70.81,2016-11-05 00:00:00,9.744832073869e+18,53887.87050676651
83654781000000.0,4.2595122e+17,6.9692962e+18,1.4537007e+18,6.6404494e+16,4.1687662e-07,196.5,102.0,-31.17,-70.81,2016-11-05 00:00:00,8.915436268781e+18,54309.82031574605
79129009000000.0,4.1307556e+17,6.3706935e+18,1.313759e+18,5.9824037e+16,3.8084085e-07,198.11,102.5,-31.17,-70.81,2016-11-05 00:00:00,8.157431226009e+18,55943.03908318355
74929093000000.0,3.9978384e+17,5.8242527e+18,1.1870454e+18,5.387043e+16,3.4796287e-07,199.86,103.0,-31.17,-70.81,2016-11-05 00:00:00,7.465027299093e+18,57768.25145601863
71027804000000.0,3.8621549e+17,5.3256495e+18,1.0723975e+18,4.8489824e+16,3.1798007e-07,201.75,103.5,-31.17,-70.81,2016-11-05 00:00:00,6.832823341804e+18,59803.376886658174
67400070000000.0,3.7249399e+17,4.8708585e+18,9.6873764e+17,4.3631989e+16,2.9064793e-07,203.78,104.0,-31.17,-70.81,2016-11-05 00:00:00,6.255789519069999e+18,61676.36839651424
64022985000000.0,3.5872797e+17,4.4561554e+18,8.7507182e+17,3.9250413e+16,2.6574045e-07,205.94,104.5,-31.17,-70.81,2016-11-05 00:00:00,5.729269625984999e+18,64199.293962491596
60875512000000.0,3.4501112e+17,4.0780925e+18,7.9048261e+17,3.530188e+16,2.4304813e-07,208.24,105.0,-31.17,-70.81,2016-11-05 00:00:00,5.248948985512e+18,65323.63125941317
57938501000000.0,3.3142318e+17,3.7334835e+18,7.1412669e+17,3.1746526e+16,2.2237769e-07,210.69,105.5,-31.17,-70.81,2016-11-05 00:00:00,4.810837834501e+18,66857.43862486572
55194549000000.0,3.1803171e+17,3.4194003e+18,6.452317e+17,2.8547615e+16,2.0355135e-07,213.27,106.0,-31.17,-70.81,2016-11-05 00:00:00,4.411266519549e+18,68292.36961323806
52627832000000.0,3.0489231e+17,3.1331494e+18,5.8308985e+17,2.5671374e+16,1.8640542e-07,216.0,106.5,-31.17,-70.81,2016-11-05 00:00:00,4.046855561832e+18,68533.24631123334
50224047000000.0,2.9205059e+17,2.8722608e+18,5.2705543e+17,2.3086856e+16,1.7079006e-07,218.88,107.0,-31.17,-70.81,2016-11-05 00:00:00,3.714503900047e+18,69719.14735267605
47970238000000.0,2.7954283e+17,2.6344749e+18,4.7653982e+17,2.0765748e+16,1.5656803e-07,221.91,107.5,-31.17,-70.81,2016-11-05 00:00:00,3.411371268238e+18,74357.49754781081
45854677000000.0,2.6739707e+17,2.4177183e+18,4.3100725e+17,1.8682163e+16,1.4361353e-07,225.08,108.0,-31.17,-70.81,2016-11-05 00:00:00,3.134850637677e+18,75224.63539889568
